ip,cn,id,name,country,dns,port_forward,protocol,offline
31.171.154.130,tirana401,al,Albania,AL,al.privacy.network,True,meta,
31.171.154.134,tirana401,al,Albania,AL,al.privacy.network,True,ovpntcp,
31.171.154.137,tirana401,al,Albania,AL,al.privacy.network,True,ovpnudp,
31.171.154.137,tirana401,al,Albania,AL,al.privacy.network,True,wg,
84.239.42.48,kiev407,ua,Ukraine,UA,ua.privacy.network,True,ikev2,
84.239.42.31,kiev407,ua,Ukraine,UA,ua.privacy.network,True,meta,
84.239.42.48,kiev407,ua,Ukraine,UA,ua.privacy.network,True,ovpntcp,
84.239.42.55,kiev407,ua,Ukraine,UA,ua.privacy.network,True,ovpnudp,
84.239.42.50,kiev407,ua,Ukraine,UA,ua.privacy.network,True,wg,
37.19.197.153,newjersey419,us-streaming,US East Streaming Optimized,US,us-streaming.privacy.network,False,ikev2,
37.19.197.129,newjersey419,us-streaming,US East Streaming Optimized,US,us-streaming.privacy.network,False,meta,
37.19.197.151,newjersey419,us-streaming,US East Streaming Optimized,US,us-streaming.privacy.network,False,ovpntcp,
37.19.197.140,newjersey419,us-streaming,US East Streaming Optimized,US,us-streaming.privacy.network,False,ovpnudp,
37.19.197.148,newjersey419,us-streaming,US East Streaming Optimized,US,us-streaming.privacy.network,False,wg,
95.181.238.55,bahamas407,bahamas,Bahamas,BS,bahamas.privacy.network,True,ikev2,
95.181.238.50,bahamas407,bahamas,Bahamas,BS,bahamas.privacy.network,True,meta,
95.181.238.53,bahamas407,bahamas,Bahamas,BS,bahamas.privacy.network,True,ovpntcp,
95.181.238.55,bahamas407,bahamas,Bahamas,BS,bahamas.privacy.network,True,ovpnudp,
95.181.238.54,bahamas407,bahamas,Bahamas,BS,bahamas.privacy.network,True,wg,
84.239.52.6,alaska402,us_alaska-pf,US Alaska,US,us-alaska-pf.privacy.network,False,ikev2,
84.239.52.1,alaska402,us_alaska-pf,US Alaska,US,us-alaska-pf.privacy.network,False,meta,
84.239.52.14,alaska402,us_alaska-pf,US Alaska,US,us-alaska-pf.privacy.network,False,ovpntcp,
84.239.52.5,alaska402,us_alaska-pf,US Alaska,US,us-alaska-pf.privacy.network,False,ovpnudp,
84.239.52.17,alaska402,us_alaska-pf,US Alaska,US,us-alaska-pf.privacy.network,False,wg,
91.90.122.13,liechtenstein403,liechtenstein,Liechtenstein,LI,liechtenstein.privacy.network,True,ikev2,
91.90.122.2,liechtenstein403,liechtenstein,Liechtenstein,LI,liechtenstein.privacy.network,True,meta,
91.90.122.15,liechtenstein403,liechtenstein,Liechtenstein,LI,liechtenstein.privacy.network,True,ovpntcp,
91.90.122.19,liechtenstein403,liechtenstein,Liechtenstein,LI,liechtenstein.privacy.network,True,ovpnudp,
91.90.122.17,liechtenstein403,liechtenstein,Liechtenstein,LI,liechtenstein.privacy.network,True,wg,
84.239.37.10,maine402,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ikev2,
84.239.37.2,maine402,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,meta,
84.239.37.12,maine402,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ovpntcp,
84.239.37.7,maine402,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,ovpnudp,
84.239.37.5,maine402,us_maine-pf,US Maine,US,us-maine-pf.privacy.network,False,wg,
84.239.10.136,virginia403,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ikev2,
84.239.10.129,virginia403,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,meta,
84.239.10.150,virginia403,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ovpntcp,
84.239.10.134,virginia403,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,ovpnudp,
84.239.10.140,virginia403,us_virginia-pf,US Virginia,US,us-virginia-pf.privacy.network,False,wg,
173.239.249.14,ecuador401,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,ikev2,
173.239.249.2,ecuador401,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,meta,
173.239.249.25,ecuador401,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,ovpntcp,
173.239.249.26,ecuador401,ec_ecuador-pf,Ecuador,EC,ec-ecuador-pf.privacy.network,True,ovpnudp,
